SDSS_NAME,RA,DEC,Z,r_mag,Anomaly_Type
001439.18-045138.9,3.6632734558297817,-4.860823653664647,2.126189708709717,21.204447,Non-BAL CIV Peaker
001653.80+004250.1,4.224188518974756,0.7139180933342447,1.925891399383545,21.377134,Non-BAL CIV Peaker
002445.98-041201.5,6.1916065504868385,-4.200435146735838,1.95449697971344,20.535616,Non-BAL CIV Peaker
002742.07+011513.5,6.925305947194261,1.25377290950432,2.395,20.580816,Non-BAL CIV Peaker
004119.50-040030.4,10.331255142091948,-4.008462095091363,2.133753538131714,21.242302,Non-BAL CIV Peaker
005223.28+301559.1,13.097032450340066,30.266423818253717,2.200314998626709,21.22174,Non-BAL CIV Peaker
010427.26+263127.3,16.113603398977943,26.52426346439085,2.01607084274292,20.403574,Non-BAL CIV Peaker
010745.71+025557.7,16.9404840088676,2.9327021549858387,2.192153215408325,21.276506,Non-BAL CIV Peaker
011035.53+050013.3,17.64807826035775,5.003703323046251,2.282,20.010101,Non-BAL CIV Peaker
011122.36+330521.9,17.8432012338028,33.08942513397667,2.0189197063446045,20.166727,Non-BAL CIV Peaker
011804.21+065954.6,19.517565020950656,6.998513233067938,2.040860414505005,20.622646,Non-BAL CIV Peaker
012200.89-044939.4,20.50374296145401,-4.8276296243719115,2.142505645751953,20.804571,Non-BAL CIV Peaker
012551.37+331118.7,21.46408197631706,33.188533233009665,1.939380168914795,19.522074,Non-BAL CIV Peaker
014538.84-002122.2,26.411855772336143,-0.3561752514598127,2.348,21.34886,Non-BAL CIV Peaker
014902.76+340532.0,27.261514948518027,34.09224002900844,1.88998019695282,19.523846,Non-BAL CIV Peaker
015312.84-032150.6,28.30353980342508,-3.364073509244311,1.9753808975219729,21.280396,Non-BAL CIV Peaker
015336.81+270624.7,28.403377080335304,27.106866119625515,2.0,20.559612,Non-BAL CIV Peaker
015511.88+173558.2,28.799533439038782,17.59952471761941,2.0047879219055176,20.146986,Non-BAL CIV Peaker
015816.23+254214.5,29.567627246637414,25.704048901713225,2.0103321075439453,20.553799,Non-BAL CIV Peaker
020059.13+054604.1,30.24637583125127,5.767810305833827,2.148437023162842,20.957012,Non-BAL CIV Peaker
020353.59+221928.9,30.97329489364006,22.32471489861322,1.9559253454208376,20.78809,Non-BAL CIV Peaker
021705.35+051539.0,34.27233181663746,5.260844956000684,1.9382739067077637,20.700916,Non-BAL CIV Peaker
022651.63+022442.8,36.71515357883039,2.411893908121263,1.889971137046814,21.08882,Non-BAL CIV Peaker
023819.91+004253.4,39.58296123811833,0.7148439064372036,2.167,19.934385,Non-BAL CIV Peaker
024147.98-034459.4,40.449921486409195,-3.7498362647422527,1.8967491388320925,20.155539,Non-BAL CIV Peaker
024251.01+001010.9,40.7125800347178,0.1697127800129811,1.892,20.432035,Non-BAL CIV Peaker
073425.29+232116.0,113.60538962255164,23.3544472721728,2.331714868545532,19.004469,Non-BAL CIV Peaker
073740.59+332552.5,114.41916200745484,33.431262631710204,2.322,20.474854,Non-BAL CIV Peaker
073959.87+350531.4,114.99948226221098,35.0920656607924,1.971019625663757,21.189592,Non-BAL CIV Peaker
075132.10+283827.5,117.88375382320108,28.64099773305859,1.894048810005188,19.690216,Non-BAL CIV Peaker
075625.55+254954.8,119.10645996686829,25.8318967284764,2.274,20.509783,Non-BAL CIV Peaker
080726.92+332338.6,121.8621927612768,33.39407811308011,2.311,21.344858,Non-BAL CIV Peaker
083035.55+330613.9,127.6481353942917,33.10386436265693,1.9819414615631104,19.80137,Non-BAL CIV Peaker
083805.01+295934.0,129.5208782168539,29.99279334534861,2.37,19.853338,Non-BAL CIV Peaker
084342.16+023106.6,130.925687,2.518505,1.957123,20.200792,Non-BAL CIV Peaker
084411.38+471308.2,131.0474432097888,47.218960832076874,2.038,19.801804,Non-BAL CIV Peaker
084807.01+332933.1,132.0292192725674,33.492537722930685,1.8876218795776367,19.939411,Non-BAL CIV Peaker
084857.06+211731.9,132.23776644289805,21.29219455013904,1.9992481470108032,20.644115,Non-BAL CIV Peaker
090002.50+394940.2,135.01042814936525,39.827858619770495,2.059,20.713879,Non-BAL CIV Peaker
090259.29+385316.9,135.74705234702088,38.88803960118662,1.9054298400878904,20.705141,Non-BAL CIV Peaker
090429.08+212342.5,136.1211791857315,21.395154685269148,1.926,19.064178,Non-BAL CIV Peaker
092138.92+275753.2,140.41219178020526,27.96478540997652,2.358978033065796,21.669178,Non-BAL CIV Peaker
092649.81+321443.0,141.70755515833528,32.24529031120531,2.1334710121154785,20.627607,Non-BAL CIV Peaker
093657.10+502317.7,144.23793554770566,50.38825163613794,2.109098196029663,20.88732,Non-BAL CIV Peaker
093725.00+432924.2,144.35417096346026,43.49006107035885,1.982982397079468,19.641943,Non-BAL CIV Peaker
093757.13+141731.9,144.48804190381026,14.292220345722027,2.33,20.454844,Non-BAL CIV Peaker
093845.98+485312.2,144.6916040981327,48.88672845277907,2.199,19.826948,Non-BAL CIV Peaker
093914.55+511154.5,144.8106252509979,51.198473238884866,2.163037061691284,21.288687,Non-BAL CIV Peaker
094101.77+500742.6,145.2573904538553,50.12851718927816,2.434,19.830627,Non-BAL CIV Peaker
094148.87+614442.5,145.4536414030419,61.74515206602719,2.341,20.5532,Non-BAL CIV Peaker
094831.31+392139.9,147.13048537533192,39.36109979359278,2.3275234699249268,21.302242,Non-BAL CIV Peaker
100042.24+135203.4,150.1760404894573,13.86763012568326,2.167,20.137598,Non-BAL CIV Peaker
100329.57+094250.2,150.87324460539492,9.713956135397783,2.276,19.607876,Non-BAL CIV Peaker
